Number,MSE
456,0.272817
457,0.272772
458,0.272726
459,0.272681
460,0.272636
461,0.272591
462,0.272547
463,0.272502
464,0.272458
465,0.272414
466,0.272370
467,0.272326
468,0.272282
469,0.272239
470,0.272195
471,0.272152
472,0.272109
473,0.272066
474,0.272024
475,0.271981
476,0.271939
477,0.271897
478,0.271855
479,0.271813
480,0.271771
481,0.271729
482,0.271688
483,0.271647
484,0.271606
485,0.271565
486,0.271524
487,0.271483
488,0.271443
489,0.271402
490,0.271362
491,0.271322
492,0.271282
493,0.271242
494,0.271203
495,0.271163
496,0.271124
497,0.271085
498,0.271045
499,0.271007
500,0.270968
501,0.270929
502,0.270891
503,0.270852
504,0.270814
505,0.270776
506,0.270738
507,0.270700
508,0.270662
509,0.270625
510,0.270587
511,0.270550
512,0.270513
513,0.270476
514,0.270439
515,0.270402
516,0.270365
517,0.270329
518,0.270293
519,0.270256
520,0.270220
521,0.270184
522,0.270148
523,0.270112
524,0.270077
525,0.270041
526,0.270006
527,0.269971
528,0.269935
529,0.269900
530,0.269865
531,0.269831
532,0.269796
533,0.269761
534,0.269727
535,0.269693
536,0.269659
537,0.269624
538,0.269590
539,0.269557
540,0.269523
541,0.269489
542,0.269456
543,0.269422
544,0.269389
545,0.269356
546,0.269323
547,0.269290
548,0.269257
549,0.269224
550,0.269192
551,0.269159
552,0.269127
553,0.269094
554,0.269062
555,0.269030
556,0.268998
557,0.268966
558,0.268935
559,0.268903
560,0.268871
561,0.268840
562,0.268809
563,0.268777
564,0.268746
565,0.268715
566,0.268684
567,0.268654
568,0.268623
569,0.268592
570,0.268562
571,0.268531
572,0.268501
573,0.268471
574,0.268440
575,0.268410
576,0.268380
577,0.268351
578,0.268321
579,0.268291
580,0.268262
581,0.268232
582,0.268203
583,0.268173
584,0.268144
585,0.268115
586,0.268086
587,0.268057
588,0.268029
589,0.268000
590,0.267971
591,0.267943
592,0.267914
593,0.267886
594,0.267858
595,0.267829
596,0.267801
597,0.267773
598,0.267745
599,0.267718
600,0.267690
601,0.267662
602,0.267635
603,0.267607
604,0.267580
605,0.267552
606,0.267525
607,0.267498
608,0.267471
609,0.267444
610,0.267417
611,0.267390
612,0.267364
613,0.267337
614,0.267310
615,0.267284
616,0.267258
617,0.267231
618,0.267205
619,0.267179
620,0.267153
621,0.267127
622,0.267101
623,0.267075
624,0.267049
625,0.267024
626,0.266998
627,0.266973
628,0.266947
629,0.266922
